Card Name,Card Description,List Name,Labels,Due Date,Members
commitkit doctor Command (Post-MVP),System diagnostics: check git installation, config validity, API connectivity, hook status. See CLI_ARCHITECTURE_NOTES.md line 948.,Post-MVP,Nice to Have,,
commitkit purge Command (Post-MVP),Remove specific commit from API permanently. Requires confirmation. See CLI_ARCHITECTURE_NOTES.md line 949.,Post-MVP,Nice to Have,,
MCP Server Implementation,"Build Model Context Protocol server for IDE integration. Supports Claude Code, Copilot, Cursor, Windsurf. See CLI_ARCHITECTURE_NOTES.md lines 177-287.",Post-MVP,High Priority,,
commitkit setup-mcp Command (Post-MVP),"Show IDE-specific MCP setup instructions. Add --auto flag for automatic config modification (with user permission). See CLI_ARCHITECTURE_NOTES.md lines 268-287.",Post-MVP,High Priority,,
Historical Commit Sync (Post-MVP),"Add `commitkit sync --all` to sync entire git history on first setup. See CLI_ARCHITECTURE_NOTES.md line 1052.",Post-MVP,Nice to Have,,
Advanced Sync Features (Post-MVP),"Add `commitkit sync --from-date`, `commitkit sync --branch`, selective syncing options.",Post-MVP,Nice to Have,,
Repo Summarization (Post-MVP),"Generate repository summary from commit patterns. Use for better LLM context. See CLI_ARCHITECTURE_NOTES.md lines 236-248.",Post-MVP,Nice to Have,,
Dead Letter Queue,"Implement dead letter queue for permanently failed jobs (after 3 retries with exponential backoff). See CLI_ARCHITECTURE_NOTES.md lines 143-159.",Backlog,High Priority,,
Retry Logic with Backoff,Implement exponential backoff for failed jobs: 2s → 4s → 8s then dead letter. See CLI_ARCHITECTURE_NOTES.md lines 143-159.,Backlog,High Priority,,
Queue Cleanup,Add queue cleanup logic to remove old completed jobs and rotate dead letter queue.,Backlog,Should Have,,
Config File Management,"Create utilities for reading/writing repo-level .commitkit/config (mode, ignoreFile, created). See CLI_ARCHITECTURE_NOTES.md lines 434-441.",Backlog,High Priority,,
API Client Improvements,"Add timeout handling, retry logic for network failures, better error messages for API errors. See lib/api.js.",Backlog,Should Have,,
Offline Mode Support,"Queue commits when offline, automatically sync when connection restored. Worker should detect network availability.",Backlog,High Priority,,
Git Hook Verification Tests,"Add test to verify hook script structure: bash shebang, original hook section, CommitKit tracking section, correct ordering. See __tests__/git-hook.test.js lines 88-123.",Week 3: Testing,MVP,2025-11-23,
Analyze Command (Hybrid LLM),"Add `commitkit analyze --all` to retroactively analyze commits that were tracked without LLM analysis. See CLI_ARCHITECTURE_NOTES.md line 1043.",Post-MVP,Nice to Have,,
Installation Script,"Create install.sh script that: checks Node version, installs package globally, verifies installation, prints next steps.",Week 4: Polish & Release,Should Have,2025-11-30,
Uninstall Script,Create uninstall.sh that removes hooks from all repos and optionally removes config.,Week 4: Polish & Release,Nice to Have,2025-11-30,
Windows-Specific Testing,"Test on Windows with Git Bash, PowerShell, WSL. Verify bash script execution. See CLI_ARCHITECTURE_NOTES.md lines 839-865.",Week 3: Testing,MVP,2025-11-23,
Multi-Line Commit Message Test,"Verify format string parsing correctly handles commit messages with newlines using \x1F separator. See CLI_ARCHITECTURE_NOTES.md lines 626-635 and lines 692-697.",Week 3: Testing,MVP,2025-11-23,
Hook Exit Code Handling,"Verify that if original user hook exits non-zero, CommitKit skips tracking and propagates exit code. See lib/git-hook.js lines 32-42.",Week 3: Testing,MVP,2025-11-23,
API Endpoint Enhancement,"Add GET /api/v1/status endpoint that returns commits count, last commit, account status. For `commitkit status` command.",Backlog,Enhancement,,
Rate Limiting (API),"Add rate limiting to API endpoints: 100 commits/hour per user, 1000 requests/hour per token.",Backlog,Security,,
Pagination (API),"Add pagination to GET /api/v1/commits endpoint: ?page=1&per_page=50. See CLI_ARCHITECTURE_NOTES.md line 247.",Backlog,Enhancement,,
Security Audit,Review for security issues: command injection, path traversal, token leakage in logs, etc.,Week 3: Testing,Security,2025-11-23,
Performance Testing,"Test with large repos (10,000+ commits), large queues (100+ pending jobs), rapid commit sequences.",Week 3: Testing,MVP,2025-11-23,
Memory Leak Testing,Run worker for extended period with continuous commits to detect memory leaks.,Week 3: Testing,Should Have,2025-11-23,
Debug Mode,"Add COMMITKIT_DEBUG=1 environment variable that enables verbose logging to stdout/stderr.",Backlog,Nice to Have,,
Telemetry (Optional),"Add opt-in anonymous telemetry: CLI version, OS, Node version, error rates. For improving product.",Post-MVP,Nice to Have,,
Config Migration System,"Create system for migrating config files when format changes between versions.",Post-MVP,Nice to Have,,
Webhook Support (API),"Add webhook system: user registers webhook URL, API calls it on commit received.",Post-MVP,Enhancement,,
Commit Search (API),"Add GET /api/v1/commits/search?q=keyword endpoint for searching commit messages and summaries.",Post-MVP,Enhancement,,
Tags API,"If we add tags to commits, create CRUD API: GET/POST/DELETE /api/v1/tags, GET /api/v1/commits?tag=feature.",Post-MVP,Enhancement,,
Dashboard Improvements (Web),"Enhance dashboard UI: filtering by date, search, tags, export to CSV, commit timeline visualization.",Post-MVP,Enhancement,,
Browser Extension,"Build Chrome/Firefox extension to show CommitKit data on GitHub/GitLab commit pages.",Post-MVP,Nice to Have,,
VS Code Extension,"Build VS Code extension with sidebar showing recent commits, inline commit tracking status.",Post-MVP,Nice to Have,,
Mobile App,"Build iOS/Android app for viewing commit history and generating resume bullets on mobile.",Post-MVP,Nice to Have,,
AI Resume Generator,"Use LLM to generate professional resume bullet points from clusters of related commits. MVP for post-CLI.",Post-MVP,High Priority,,
LinkedIn Integration,"One-click export of resume bullets to LinkedIn experience section (via API if available).",Post-MVP,Enhancement,,
